feature,importance
horror,0.010142695665684915
soon,0.0060366877834301495
dr,0.006036316009018208
dead,0.005955895904531534
night,0.005763415034584836
remote,0.005496823128934002
house,0.0052370003414779175
life,0.005179589229938498
high,0.005097008445972195
woman,0.004606247391920634
evil,0.0045309035007929516
ghost,0.004309765981336105
hospital,0.0038463646605736072
young,0.003813520283116696
family,0.0037051895007120996
mysterious,0.0036787071596302945
body,0.003668949523601492
begins,0.003590455805640816
mansion,0.0035437534819981274
blood,0.0035427258865674983
